floor_area_m2,storeys,structural_type,wall_material,region,finish_quality,total_blocks,total_cement_bags,total_sand_m3,total_aggregate_m3,total_cost_ghs
473.42,3,storey_building,clay_brick,Northern,standard,13441,2336.03,244.605,100.317,353572.17
247.65,1,commercial_block,compressed_earth_block,Central,premium,1923,345.44,36.199,16.805,65782.73
464.53,3,storey_building,sandcrete_block,Northern,premium,10613,1952.1,204.67,102.538,369247.38
457.07,2,commercial_block,clay_brick,Ashanti,standard,6912,1249.55,130.966,62.5,238448.07
284.81,1,commercial_block,clay_brick,Eastern,standard,2609,459.68,48.148,20.775,77595.15
151.95,4,bungalow,compressed_earth_block,Eastern,standard,5311,936.01,98.037,42.084,148328.35
414.31,3,storey_building,compressed_earth_block,Central,premium,10701,1919.95,201.198,93.75,358254.33
160.17,2,storey_building,compressed_earth_block,Northern,standard,2478,456.0,47.811,24.02,64723.38
412.02,2,storey_building,clay_brick,Eastern,standard,5745,1085.39,113.856,61.064,181569.17
125.29,2,warehouse,clay_brick,Western,standard,2037,360.79,37.792,16.476,60204.09
548.81,2,warehouse,clay_brick,Ashanti,premium,9372,1668.26,174.774,78.054,378261.47
295.23,3,bungalow,compressed_earth_block,Ashanti,standard,8064,1410.06,147.664,61.745,229817.16
367.09,1,warehouse,clay_brick,Greater Accra,standard,3100,557.01,58.368,26.997,105929.49
135.53,2,commercial_block,compressed_earth_block,Central,standard,1855,344.17,36.088,18.327,54975.48
312.53,3,storey_building,clay_brick,Northern,standard,6978,1278.61,134.038,65.824,200946.25
502.72,1,commercial_block,clay_brick,Greater Accra,standard,4394,797.34,83.572,40.036,169222.27
552.97,4,bungalow,sandcrete_block,Greater Accra,standard,20669,3572.88,374.076,150.627,684852.63
328.43,4,storey_building,compressed_earth_block,Northern,standard,10243,1879.29,196.991,95.568,265942.01
540.33,1,warehouse,clay_brick,Ashanti,premium,4331,799.78,83.861,42.489,173451.48
174.94,1,bungalow,sandcrete_block,Eastern,standard,1428,255.19,26.735,11.92,38923.0
320.42,2,bungalow,compressed_earth_block,Greater Accra,standard,5207,942.12,98.728,46.005,158430.77
151.87,4,commercial_block,sandcrete_block,Eastern,standard,4562,830.04,87.01,42.469,136244.79
411.2,2,commercial_block,clay_brick,Ashanti,premium,7030,1233.85,129.23,55.361,287941.18
581.09,1,warehouse,sandcrete_block,Northern,premium,5231,935.14,97.985,44.866,167044.36
170.28,2,warehouse,compressed_earth_block,Central,premium,2684,486.22,50.962,24.381,86150.32
178.79,2,bungalow,compressed_earth_block,Eastern,premium,2544,477.54,50.085,26.273,84475.85
120.57,4,commercial_block,clay_brick,Greater Accra,standard,3531,650.15,68.165,34.169,127916.23
371.04,3,warehouse,compressed_earth_block,Western,standard,10019,1776.42,186.085,81.667,304871.12
359.89,4,storey_building,sandcrete_block,Greater Accra,standard,10853,1995.22,209.198,105.282,344899.61
512.4,4,commercial_block,sandcrete_block,Northern,premium,17766,3150.77,330.078,146.655,585700.29
520.24,4,storey_building,compressed_earth_block,Western,standard,14543,2751.24,288.573,152.778,397974.93
245.18,3,storey_building,clay_brick,Western,standard,7050,1252.88,131.255,58.463,225049.01
515.19,2,warehouse,sandcrete_block,Eastern,standard,8182,1457.33,152.687,68.943,224983.05
384.05,3,bungalow,clay_brick,Eastern,standard,8054,1503.29,157.634,80.376,258850.28
485.26,4,commercial_block,sandcrete_block,Ashanti,standard,16453,2988.61,313.237,149.444,456331.23
